,nDCG@5,nDCG@10,Precision@5,MRR
TF-IDF,0.3919026588628083,0.36596139947247197,0.457,0.6243531746031746
BERT,0.8211027278889662,0.8305411453427236,0.9089999999999999,0.975
Hybrid,0.7977701707501095,0.8041970951848484,0.8839999999999999,0.9641666666666667
Supervised_RF,0.7221267324038807,0.7174616493022563,0.9211434735706581,0.9792340884573895
Supervised_LR,0.8094919527717689,0.7942737587185285,0.919309600862999,0.9792340884573895
